datasetname,model,cv_method,basic_prediction_mean,rmse_mean,rmse_std,parameters
df_num_cat_without,Linear_Regression,cross_val_score,22735.17993029447,283587314.89869916,570552599.4461417,None
df_num_cat_without,KNeighbors_Regression,cross_val_score,51336.468898999774,39991.91761081478,5233.698106431897,None
df_num_cat_without,Decision_Tree,cross_val_score,39657.083770143436,36809.81189758583,2867.0043186118987,None
df_num_cat_without,Random_Forest,cross_val_score,27172.25063680559,24124.54026479901,3432.244156067125,None
df_num_cat_without,SGD_Regression,cross_val_score,3.68350357478245e+16,6.6696255791265896e+16,4.78206955631446e+16,None
df_num_cat_without,Ridge_Regression,cross_val_score,22268.561990396774,21484.533199574762,2852.360464337368,None
df_num_cat_without,Lasso_Regression,cross_val_score,22692.762575276505,22036.36137374141,2739.5895781789936,None
df_num_cat_without,ElasticNet_Regression,cross_val_score,27609.692262940353,24894.507147138665,4102.851675199042,None
df_num_cat_without,Logistic_Regression,cross_val_score,63219.26495361491,50479.278690032006,6448.398528981555,None
df_num_cat_without,LinearSVR,cross_val_score,38583.04118096204,43864.031946451476,13182.895904205154,None
df_num_cat_without,GradientBoosting_Regression,cross_val_score,23474.561491949167,22036.92621493016,3240.156967011433,None
df_num_cat_without,XGBoost_Regression,cross_val_score,25324.488293044513,23790.115705008815,3524.805356527556,None
df_num_cat_without,LightGBM_Regression,cross_val_score,25358.582610440797,21940.097761911715,3505.461392263177,None
df_num_cat_without,Linear_Regression,kfold,20468.19994297832,398314536.85336125,510742003.5913921,None
df_num_cat_without,KNeighbors_Regression,kfold,35215.66340581822,41233.10035521089,5057.472894457916,None
df_num_cat_without,Decision_Tree,kfold,32741.859363906617,36156.32201760571,2466.0235661598717,None
df_num_cat_without,Random_Forest,kfold,20011.51934512745,24140.416722620583,2582.898061625597,None
df_num_cat_without,SGD_Regression,kfold,1.5531327341004998e+16,5.657756530131086e+16,3.2863250355516996e+16,None
df_num_cat_without,Ridge_Regression,kfold,18216.775850912894,21562.536460140767,2306.902186812443,None
df_num_cat_without,Lasso_Regression,kfold,18494.27225620098,22240.498181504532,2423.8976810210906,None
df_num_cat_without,ElasticNet_Regression,kfold,19905.198748517036,25163.270480021893,3259.035610650799,None
df_num_cat_without,Logistic_Regression,kfold,44969.345457267584,52194.392829149154,3742.2766016337287,None
df_num_cat_without,LinearSVR,kfold,33067.575041424425,42026.90147486374,10547.19854965373,None
df_num_cat_without,GradientBoosting_Regression,kfold,17476.00838289504,21375.936111408337,2340.9653553380135,None
df_num_cat_without,XGBoost_Regression,kfold,21945.598557352205,23972.799927483884,1818.8471951420602,None
