datasetname,model,cv_method,basic_prediction_mean,rmse_mean,rmse_std,parameters
df_num_cat_without_ss,SGD_Regression,cross_val_score,68133.0734715013,58801.765805082,12345.445066348031,None
df_num_cat_without_ss,Ridge_Regression,cross_val_score,22011.628785460478,20990.723029261848,3171.112569016632,None
df_num_cat_without_ss,GradientBoosting_Regression,cross_val_score,23828.3591206048,21809.533260689175,3544.9713808436054,None
df_num_cat_without_ss,LightGBM_Regression,cross_val_score,24320.328540057788,22347.41051322724,3448.699395373448,None
df_num_cat_without_ss,Voting_Regressor,cross_val_score,28264.41288136772,24903.34002882685,5533.129199722732,None
df_num_cat_without_ss,SGD_Regression,kfold,48064.02276670716,59173.2237185136,6499.298792499059,None
df_num_cat_without_ss,Ridge_Regression,kfold,17504.99632985141,21012.983173044602,2516.4244587815065,None
df_num_cat_without_ss,GradientBoosting_Regression,kfold,18501.27776190645,22970.381216108428,2584.681945860994,None
df_num_cat_without_ss,LightGBM_Regression,kfold,17963.739249559207,22221.451415475552,2586.5290740545083,None
df_num_cat_without_ss,Voting_Regressor,kfold,18312.428129430067,25346.904032704482,3443.925339129843,None
df_num_cat_without_ss,SGD_Regression,repeatedkfold,40209.99585996884,58616.192437620244,8506.897558074414,None
df_num_cat_without_ss,Ridge_Regression,repeatedkfold,15181.233494937902,21160.05627991076,2982.9802496337343,None
df_num_cat_without_ss,GradientBoosting_Regression,repeatedkfold,17080.843050071806,22732.538131864774,3102.154578538072,None
df_num_cat_without_ss,LightGBM_Regression,repeatedkfold,16528.814109733015,22432.671314607596,3199.572626785257,None
df_num_cat_without_ss,Voting_Regressor,repeatedkfold,18253.645205417484,25176.955357498024,4490.30055255127,None
df_num_cat_without_ss,SGD_Regression,stratifiedkfold,46984.69821591597,58797.080140298895,8798.076876059395,None
df_num_cat_without_ss,Ridge_Regression,stratifiedkfold,16769.284310654803,21059.907085616804,1936.933323185786,None
df_num_cat_without_ss,GradientBoosting_Regression,stratifiedkfold,17784.57940661561,22626.965696330288,2673.913822970998,None
df_num_cat_without_ss,LightGBM_Regression,stratifiedkfold,17634.554645854438,21945.582036923,2263.439599152557,None
df_num_cat_without_ss,Voting_Regressor,stratifiedkfold,20448.750156086575,24955.659635206302,3792.055141271282,None
df_num_cat_without_ss,SGD_Regression,shufflesplit,56430.30266818674,61460.23878758682,2635.2460726879667,None
df_num_cat_without_ss,Ridge_Regression,shufflesplit,18109.337409753116,20818.562927265186,1750.2663052766127,None
df_num_cat_without_ss,GradientBoosting_Regression,shufflesplit,18578.38847295057,22141.821721496843,2409.346326501745,None
df_num_cat_without_ss,LightGBM_Regression,shufflesplit,19575.49708320219,21909.299480994618,2309.6027017583406,None
df_num_cat_without_ss,Voting_Regressor,shufflesplit,22023.764131474378,25415.873850513533,2486.781681528209,None
