,datasetname,model,cv_method,basic_prediction_mean,rmse_mean,rmse_std,parameters
0,df_normalized_scaled,SGD_Regression,cross_val_score,19735.617043339902,21330.778194064114,3164.0239486453215,None
1,df_normalized_scaled,Ridge_Regression,cross_val_score,19777.391715849677,20639.327718396577,3149.858268337193,None
2,df_normalized_scaled,GBR_Regression,cross_val_score,18848.628353117096,21651.111515240922,4476.8549274226725,None
3,df_normalized_scaled,LightGBM_Regression,cross_val_score,20745.91211057,22263.942276809794,4349.6187723902785,None
4,df_normalized_scaled,Voting_Regressor,cross_val_score,18795.720301985883,19604.009500964294,3695.481546818087,None
0,df_normalized_scaled,SGD_Regression,kfold,16715.401892641876,20527.935320713612,2689.8356212846547,None
1,df_normalized_scaled,Ridge_Regression,kfold,16440.93805926706,20025.96024185344,2541.9536952479953,None
2,df_normalized_scaled,GBR_Regression,kfold,14857.737229657929,20746.299655215244,3151.3102258745466,None
3,df_normalized_scaled,LightGBM_Regression,kfold,16520.9500241912,21034.839800608574,2576.6031606516913,None
4,df_normalized_scaled,Voting_Regressor,kfold,15257.431767455326,18727.658475176067,2478.915521419557,None
0,df_normalized_scaled,SGD_Regression,repeatedkfold,14810.796497665384,20746.308129371908,2648.014835691677,None
1,df_normalized_scaled,Ridge_Regression,repeatedkfold,14036.221503454675,20186.621251355267,2593.410451042084,None
2,df_normalized_scaled,GBR_Regression,repeatedkfold,15705.149552108755,20824.27780223007,2753.5463372447457,None
3,df_normalized_scaled,LightGBM_Regression,repeatedkfold,15707.10339641427,21122.246710270312,3042.5759371796166,None
4,df_normalized_scaled,Voting_Regressor,repeatedkfold,13662.482241745034,19005.941893592033,2756.46612906417,None
0,df_normalized_scaled,SGD_Regression,stratifiedkfold,16580.89699432848,20816.323848387263,3180.7432383240525,None
1,df_normalized_scaled,Ridge_Regression,stratifiedkfold,16282.607715633765,20172.820098356482,3109.7637061207024,None
2,df_normalized_scaled,GBR_Regression,stratifiedkfold,16480.90662376561,19929.24339906607,2866.601034995131,None
3,df_normalized_scaled,LightGBM_Regression,stratifiedkfold,16781.776724467476,21040.026575512096,3572.157405593614,None
4,df_normalized_scaled,Voting_Regressor,stratifiedkfold,14994.85360292939,18955.202381069863,3434.662614010767,None
0,df_normalized_scaled,SGD_Regression,shufflesplit,18914.18610071789,21156.229961299632,1563.6385253633575,None
1,df_normalized_scaled,Ridge_Regression,shufflesplit,18511.43075781136,20642.0027759077,1477.9986020854865,None
2,df_normalized_scaled,GBR_Regression,shufflesplit,18518.161712718684,21112.227990314143,1804.4232189036393,None
3,df_normalized_scaled,LightGBM_Regression,shufflesplit,19045.011591951126,22369.17923295712,1691.9673272124055,None
4,df_normalized_scaled,Voting_Regressor,shufflesplit,16962.106675399955,19608.038592994933,1628.471189349096,None
0,df_normalized_not_scaled,SGD_Regression,cross_val_score,284223026114262.2,360925579629585.3,213182851288761.5,None
1,df_normalized_not_scaled,Ridge_Regression,cross_val_score,20057.746542654913,20678.882872542836,3204.567319314458,None
2,df_normalized_not_scaled,GBR_Regression,cross_val_score,20333.562829515584,21269.147202718046,4028.0458191821854,None
3,df_normalized_not_scaled,LightGBM_Regression,cross_val_score,20445.701265748943,22163.81468785795,4316.924582704381,None
4,df_normalized_not_scaled,Voting_Regressor,cross_val_score,89520010521849.83,88050132682702.84,29019529077273.918,None
0,df_normalized_not_scaled,SGD_Regression,kfold,129922216495163.48,349992615260899.5,131292804820679.84,None
1,df_normalized_not_scaled,Ridge_Regression,kfold,16566.932255288757,20050.132966170393,2555.82912091467,None
2,df_normalized_not_scaled,GBR_Regression,kfold,16846.486107640845,20482.156799829263,2526.5423148633436,None
3,df_normalized_not_scaled,LightGBM_Regression,kfold,15849.067015993454,20817.57116154253,2694.3819906525623,None
4,df_normalized_not_scaled,Voting_Regressor,kfold,20958074617884.223,79086204803949.23,48559513643440.82,None
0,df_normalized_not_scaled,SGD_Regression,repeatedkfold,56242965701978.66,317374007014106.3,158714577359442.0,None
1,df_normalized_not_scaled,Ridge_Regression,repeatedkfold,14112.393553526299,20212.40540841498,2625.8460210618664,None
2,df_normalized_not_scaled,GBR_Regression,repeatedkfold,15293.08683195899,20606.110498751907,2886.0751560274784,None
3,df_normalized_not_scaled,LightGBM_Regression,repeatedkfold,15849.067015993454,21142.16022323011,3042.55335770091,None
4,df_normalized_not_scaled,Voting_Regressor,repeatedkfold,7440843127023.444,76682545028044.83,51033857688534.836,None
0,df_normalized_not_scaled,SGD_Regression,stratifiedkfold,105315305390617.3,313632423277430.6,186052343189440.56,None
1,df_normalized_not_scaled,Ridge_Regression,stratifiedkfold,16383.65726248131,20198.64279015799,3140.0805187318256,None
2,df_normalized_not_scaled,GBR_Regression,stratifiedkfold,17007.92712679461,20334.321438146548,3520.352848002258,None
3,df_normalized_not_scaled,LightGBM_Regression,stratifiedkfold,16767.303340062477,20987.834424250028,3601.6843071743297,None
4,df_normalized_not_scaled,Voting_Regressor,stratifiedkfold,14726506915324.713,61586263953483.94,30070819993430.105,None
0,df_normalized_not_scaled,SGD_Regression,shufflesplit,163201545106975.9,275012983313632.75,74023375534512.89,None
1,df_normalized_not_scaled,Ridge_Regression,shufflesplit,18459.820300290015,20706.23807488646,1497.5538290748257,None
2,df_normalized_not_scaled,GBR_Regression,shufflesplit,18422.641201075683,21286.789031035278,1734.3352530537488,None
3,df_normalized_not_scaled,LightGBM_Regression,shufflesplit,18929.4862391998,22388.095916131093,1731.3777679027883,None
4,df_normalized_not_scaled,Voting_Regressor,shufflesplit,30147385854565.17,62131792644496.92,19276231153871.656,None
