,datasetname,model,cv_method,basic_prediction_mean,rmse_mean,rmse_std,parameters
0,df_normalized_scaled,Linear_Regression,cross_val_score,22739929716762.305,495460424196890.0,992888554245352.8,None
1,df_normalized_scaled,KNeighbors_Regression,cross_val_score,29622.414376226985,27263.386346610256,5237.626563760596,None
2,df_normalized_scaled,Decision_Tree,cross_val_score,36737.21310920315,38495.51027845799,5741.784671892912,None
3,df_normalized_scaled,Random_Forest,cross_val_score,24429.86365549068,24724.13644053593,6252.365160436165,None
4,df_normalized_scaled,SGD_Regression,cross_val_score,19857.14440368321,20925.362670166785,3459.1802375599505,None
5,df_normalized_scaled,Ridge_Regression,cross_val_score,19998.482731561027,21676.002527296536,3117.5967881155902,None
6,df_normalized_scaled,Lasso_Regression,cross_val_score,20732.15125639837,24106.39296837988,3150.9028575891634,None
7,df_normalized_scaled,ElasticNet_Regression,cross_val_score,31463.970457970343,26907.491189045955,5733.98255053045,None
8,df_normalized_scaled,Logistic_Regression,cross_val_score,36125.4234875529,36523.523041961205,3183.500169003028,None
9,df_normalized_scaled,LinearSVR,cross_val_score,163978.14816695137,159988.24143168188,8152.518359125725,None
10,df_normalized_scaled,GradientBoosting_Regression,cross_val_score,20252.73416352413,22262.50854837353,4666.391971835669,None
11,df_normalized_scaled,XGBoost_Regression,cross_val_score,23681.55338583192,24358.71602674072,4566.045196078917,None
12,df_normalized_scaled,LightGBM_Regression,cross_val_score,19898.585209240628,22837.22820889056,4912.542707472887,None
13,df_normalized_scaled,Linear_Regression,kfold,3836153246790.232,474479155810337.5,873590791875616.9,None
14,df_normalized_scaled,KNeighbors_Regression,kfold,20680.28202276471,27006.60981835788,2748.7513348291754,None
15,df_normalized_scaled,Decision_Tree,kfold,30555.947467864826,36467.99104899357,3405.726583173724,None
16,df_normalized_scaled,Random_Forest,kfold,20681.543813154018,24141.094620797645,2653.202664201757,None
17,df_normalized_scaled,SGD_Regression,kfold,16380.967549573965,20363.476880703605,2429.74156369046,None
18,df_normalized_scaled,Ridge_Regression,kfold,16581.699673949603,20764.15863771688,2823.131326991057,None
19,df_normalized_scaled,Lasso_Regression,kfold,18353.279685894944,22278.57104300396,2596.9470028902465,None
20,df_normalized_scaled,ElasticNet_Regression,kfold,22521.450635279605,27446.82096131845,2861.909082869868,None
21,df_normalized_scaled,Logistic_Regression,kfold,33147.44063453701,37497.248318054495,4437.030892515299,None
22,df_normalized_scaled,LinearSVR,kfold,147821.59023993986,157668.19706030487,6501.760417609057,None
23,df_normalized_scaled,GradientBoosting_Regression,kfold,17626.11457438373,21481.152117018955,2693.4076577426817,None
24,df_normalized_scaled,XGBoost_Regression,kfold,19600.98105300555,23356.657046858363,2938.568622929802,None
25,df_normalized_scaled,LightGBM_Regression,kfold,17228.485743066765,21700.635570233608,2998.1543338779147,None
26,df_normalized_scaled,Linear_Regression,repeatedkfold,19283.472450973182,178915412430154.4,418436305941228.5,None
27,df_normalized_scaled,KNeighbors_Regression,repeatedkfold,20427.908392978905,26867.569248885644,2814.6425962175263,None
28,df_normalized_scaled,Decision_Tree,repeatedkfold,26610.33938953723,36017.445190891805,4295.823939481574,None
29,df_normalized_scaled,Random_Forest,repeatedkfold,18070.098239665866,24050.20252358784,3334.8065269945937,None
30,df_normalized_scaled,SGD_Regression,repeatedkfold,14168.237893837506,20410.46718761757,2671.4117608244323,None
31,df_normalized_scaled,Ridge_Regression,repeatedkfold,15413.359868485317,20962.359950974187,2519.764917260436,None
32,df_normalized_scaled,Lasso_Regression,repeatedkfold,17302.18690876803,22406.204316067808,2514.254822235524,None
33,df_normalized_scaled,ElasticNet_Regression,repeatedkfold,19765.57401279476,27422.08859992505,3516.8132978778845,None
34,df_normalized_scaled,Logistic_Regression,repeatedkfold,28458.066389886066,36858.758561143855,3883.4009459277454,None
35,df_normalized_scaled,LinearSVR,repeatedkfold,138961.13346712434,157662.98910485304,6497.509186445504,None
36,df_normalized_scaled,GradientBoosting_Regression,repeatedkfold,16083.414110567612,21651.67225997313,3125.9833029979072,None
37,df_normalized_scaled,XGBoost_Regression,repeatedkfold,17769.00862778016,23440.89201592688,3023.164399833843,None
38,df_normalized_scaled,LightGBM_Regression,repeatedkfold,16213.998498556282,21871.73059036585,3201.557173868622,None
39,df_normalized_scaled,Linear_Regression,stratifiedkfold,52824520152.31834,149279690398111.0,140082490058435.28,None
40,df_normalized_scaled,KNeighbors_Regression,stratifiedkfold,24211.108256783813,26782.293633869245,2736.321868777881,None
41,df_normalized_scaled,Decision_Tree,stratifiedkfold,29010.834884533648,37265.02654839923,4897.529923275934,None
42,df_normalized_scaled,Random_Forest,stratifiedkfold,18850.69829991176,23603.756559407822,3386.3487315021703,None
43,df_normalized_scaled,SGD_Regression,stratifiedkfold,16287.699134377295,20447.82818802741,3245.4790071473544,None
44,df_normalized_scaled,Ridge_Regression,stratifiedkfold,16358.752936722174,21067.83494239829,3261.5730402784325,None
45,df_normalized_scaled,Lasso_Regression,stratifiedkfold,17143.118822590197,22579.0466120156,3334.577775568664,None
46,df_normalized_scaled,ElasticNet_Regression,stratifiedkfold,22128.02914586785,27372.552541455567,3238.4190292401945,None
47,df_normalized_scaled,Logistic_Regression,stratifiedkfold,28476.70432574342,35926.48552459205,5457.273247387499,None
48,df_normalized_scaled,LinearSVR,stratifiedkfold,145270.0208784887,157619.72352957053,7433.110171986937,None
49,df_normalized_scaled,GradientBoosting_Regression,stratifiedkfold,16020.045801294966,21528.34523351849,3744.9264738353136,None
50,df_normalized_scaled,XGBoost_Regression,stratifiedkfold,19770.715765201152,22809.276098775328,3367.3087248858924,None
51,df_normalized_scaled,LightGBM_Regression,stratifiedkfold,18158.75198774273,21980.66416860962,3528.667847449068,None
52,df_normalized_scaled,Linear_Regression,shufflesplit,24158.464733060024,492208883579667.3,487274754374020.5,None
53,df_normalized_scaled,KNeighbors_Regression,shufflesplit,25009.527997299385,27882.3602063989,1590.2354317246882,None
54,df_normalized_scaled,Decision_Tree,shufflesplit,34277.43390441339,37202.48158817633,1917.5059571451864,None
55,df_normalized_scaled,Random_Forest,shufflesplit,21181.24716023319,25108.86138819744,1942.606538372371,None
56,df_normalized_scaled,SGD_Regression,shufflesplit,18510.14608300075,20887.967313065423,1416.8958513688283,None
57,df_normalized_scaled,Ridge_Regression,shufflesplit,19366.306490163675,21432.323535924337,1448.5154582863388,None
58,df_normalized_scaled,Lasso_Regression,shufflesplit,20784.867757423035,23457.250630253297,1625.7698707813004,None
59,df_normalized_scaled,ElasticNet_Regression,shufflesplit,23839.445736165057,27616.77373426698,2159.113179883783,None
60,df_normalized_scaled,Logistic_Regression,shufflesplit,33537.21587309587,37700.3867781736,1965.1870438758087,None
61,df_normalized_scaled,LinearSVR,shufflesplit,157548.36988602806,162149.7515465763,2496.103195320574,None
62,df_normalized_scaled,GradientBoosting_Regression,shufflesplit,19005.096414061467,22758.750238318127,2052.4096108955496,None
63,df_normalized_scaled,XGBoost_Regression,shufflesplit,22196.28486923997,24833.174925556123,1684.529569466161,None
64,df_normalized_scaled,LightGBM_Regression,shufflesplit,19803.169165222927,23111.86641246766,1817.210836423676,None
65,df_normalized_not_scaled,Linear_Regression,cross_val_score,21792.013156096025,24485.30958491242,3296.565635600384,None
66,df_normalized_not_scaled,KNeighbors_Regression,cross_val_score,49224.74555406067,44907.69724363144,6776.439952867661,None
67,df_normalized_not_scaled,Decision_Tree,cross_val_score,37311.50090831254,37106.08241173216,5323.232446922239,None
68,df_normalized_not_scaled,Random_Forest,cross_val_score,23588.845382150044,24897.43309339099,6178.667505508071,None
69,df_normalized_not_scaled,SGD_Regression,cross_val_score,2.1382354943480388e+16,4.735365210479587e+16,3.128806476217572e+16,None
70,df_normalized_not_scaled,Ridge_Regression,cross_val_score,20150.207543011773,21736.227221793542,3148.461050920942,None
71,df_normalized_not_scaled,Lasso_Regression,cross_val_score,20737.34733859183,24106.948821779377,3149.769910030291,None
72,df_normalized_not_scaled,ElasticNet_Regression,cross_val_score,30319.36626315657,26601.4420671352,4661.3312844160855,None
73,df_normalized_not_scaled,Logistic_Regression,cross_val_score,79937.72315405452,67351.07192246374,6352.041263020737,None
74,df_normalized_not_scaled,LinearSVR,cross_val_score,121542.89311140352,52104.012231507615,14167.507186221012,None
75,df_normalized_not_scaled,GradientBoosting_Regression,cross_val_score,20208.89490892198,22177.241260435323,4698.094390480539,None
76,df_normalized_not_scaled,XGBoost_Regression,cross_val_score,23681.55338583192,24358.71602674072,4566.045196078917,None
77,df_normalized_not_scaled,LightGBM_Regression,cross_val_score,20262.191113181874,22419.55618430423,4796.470291145919,None
78,df_normalized_not_scaled,Linear_Regression,kfold,18821.267778652425,22839.066622711347,2425.5243000112496,None
79,df_normalized_not_scaled,KNeighbors_Regression,kfold,38161.36176758994,44859.84603932614,4540.930107578782,None
80,df_normalized_not_scaled,Decision_Tree,kfold,28830.596675119486,36416.68310748776,4614.15954554902,None
81,df_normalized_not_scaled,Random_Forest,kfold,20847.11785443066,24299.4765894914,2523.559536529502,None
82,df_normalized_not_scaled,SGD_Regression,kfold,4395578044979255.0,3.811552865854928e+16,1.950187926397832e+16,None
83,df_normalized_not_scaled,Ridge_Regression,kfold,16734.06768083861,20781.20773874556,2822.380309627738,None
84,df_normalized_not_scaled,Lasso_Regression,kfold,18361.077377864527,22277.34207806028,2595.515585410361,None
85,df_normalized_not_scaled,ElasticNet_Regression,kfold,21535.688096767703,26992.84002077852,2710.9418841643114,None
86,df_normalized_not_scaled,Logistic_Regression,kfold,57255.32747697915,67681.65725804077,5544.9442396783215,None
87,df_normalized_not_scaled,LinearSVR,kfold,29041.66259056065,41797.788490636696,8192.574727624728,None
88,df_normalized_not_scaled,GradientBoosting_Regression,kfold,17681.710850513547,21502.042353477176,2712.210687218424,None
89,df_normalized_not_scaled,XGBoost_Regression,kfold,19600.98105300555,23356.657046858363,2938.568622929802,None
90,df_normalized_not_scaled,LightGBM_Regression,kfold,16458.16150170238,21345.007822707885,3045.5958772649533,None
91,df_normalized_not_scaled,Linear_Regression,repeatedkfold,17683.105798911332,22951.02770962679,2500.942173134011,None
92,df_normalized_not_scaled,KNeighbors_Regression,repeatedkfold,33956.81931296014,44779.70122267635,4412.0621234360015,None
93,df_normalized_not_scaled,Decision_Tree,repeatedkfold,25778.63343182496,36293.66560896627,4220.419493209871,None
94,df_normalized_not_scaled,Random_Forest,repeatedkfold,18234.686072695727,24079.596466083047,3388.2847797360737,None
95,df_normalized_not_scaled,SGD_Regression,repeatedkfold,1933481724782472.8,4.555146902169716e+16,3.61584402422559e+16,None
96,df_normalized_not_scaled,Ridge_Regression,repeatedkfold,15292.77503805608,20972.332409646955,2536.8695162709064,None
97,df_normalized_not_scaled,Lasso_Regression,repeatedkfold,17300.615984388005,22404.345112832016,2513.476324890326,None
98,df_normalized_not_scaled,ElasticNet_Regression,repeatedkfold,19801.14749680872,26992.80519605152,3256.860405206796,None
99,df_normalized_not_scaled,Logistic_Regression,repeatedkfold,54753.2481346712,68823.71960921022,6924.571390601581,None
100,df_normalized_not_scaled,LinearSVR,repeatedkfold,28237.615674639543,46339.934679973536,16330.30598573164,None
101,df_normalized_not_scaled,GradientBoosting_Regression,repeatedkfold,16118.441477312814,21658.105983253805,3122.235174645983,None
102,df_normalized_not_scaled,XGBoost_Regression,repeatedkfold,17769.00862778016,23440.89201592688,3023.164399833843,None
103,df_normalized_not_scaled,LightGBM_Regression,repeatedkfold,16239.85388852746,21898.5288874709,3247.307768250279,None
104,df_normalized_not_scaled,Linear_Regression,stratifiedkfold,17689.234986184772,23024.80729129213,3339.2791557144374,None
105,df_normalized_not_scaled,KNeighbors_Regression,stratifiedkfold,35463.33243103513,44947.33093034195,5127.5021584401,None
106,df_normalized_not_scaled,Decision_Tree,stratifiedkfold,29683.398423773782,37478.75233330911,5151.960290739501,None
107,df_normalized_not_scaled,Random_Forest,stratifiedkfold,18519.83200784909,23856.9933685854,3322.4790028967973,None
108,df_normalized_not_scaled,SGD_Regression,stratifiedkfold,7368492023050952.0,3.927659767154018e+16,3.121177501251477e+16,None
109,df_normalized_not_scaled,Ridge_Regression,stratifiedkfold,16568.57200240369,21070.228428368373,3260.3432597297806,None
110,df_normalized_not_scaled,Lasso_Regression,stratifiedkfold,17156.138154060336,22579.36455137598,3330.1031077326134,None
111,df_normalized_not_scaled,ElasticNet_Regression,stratifiedkfold,22025.46386594093,26908.39529932265,3194.760910015226,None
112,df_normalized_not_scaled,Logistic_Regression,stratifiedkfold,58235.98686419344,68254.03099752794,5172.282332037559,None
113,df_normalized_not_scaled,LinearSVR,stratifiedkfold,31144.54980600728,41548.17058796537,7322.206387031443,None
114,df_normalized_not_scaled,GradientBoosting_Regression,stratifiedkfold,16297.186906633093,21575.97176603739,3705.878116315344,None
115,df_normalized_not_scaled,XGBoost_Regression,stratifiedkfold,19770.715765201152,22809.276098775328,3367.3087248858924,None
116,df_normalized_not_scaled,LightGBM_Regression,stratifiedkfold,17061.458937457348,21599.79315623492,3549.483825569951,None
117,df_normalized_not_scaled,Linear_Regression,shufflesplit,21044.83928452786,24182.93676777977,1613.4357930611154,None
118,df_normalized_not_scaled,KNeighbors_Regression,shufflesplit,40295.19309384262,44896.8345744015,2045.6420942506584,None
119,df_normalized_not_scaled,Decision_Tree,shufflesplit,32756.470138600005,37150.17793268109,2495.2294524642857,None
120,df_normalized_not_scaled,Random_Forest,shufflesplit,21131.57463884814,25141.41948897704,2001.5663992404925,None
121,df_normalized_not_scaled,SGD_Regression,shufflesplit,1.2413729922735372e+16,4.213491533807554e+16,2.680767148864073e+16,None
122,df_normalized_not_scaled,Ridge_Regression,shufflesplit,19272.248778097462,21482.73634270037,1484.9776005421693,None
123,df_normalized_not_scaled,Lasso_Regression,shufflesplit,20774.345649343966,23457.115644744,1627.384807372045,None
124,df_normalized_not_scaled,ElasticNet_Regression,shufflesplit,23476.42309795772,27351.629183368022,1921.4823229510723,None
125,df_normalized_not_scaled,Logistic_Regression,shufflesplit,63851.558816728095,69704.8303872708,3843.7123743317593,None
126,df_normalized_not_scaled,LinearSVR,shufflesplit,42541.51924427555,60545.18491287654,17205.117197260242,None
127,df_normalized_not_scaled,GradientBoosting_Regression,shufflesplit,18835.88638938257,22733.25985406311,2049.8392599267336,None
128,df_normalized_not_scaled,XGBoost_Regression,shufflesplit,22196.28486923997,24833.174925556123,1684.529569466161,None
129,df_normalized_not_scaled,LightGBM_Regression,shufflesplit,19852.61659274517,23105.492379517265,1784.0907322714736,None
