,datasetname,model,cv_method,basic_prediction_mean,rmse_mean,rmse_std,parameters
0,df_logalized_scaled,Linear_Regression,cross_val_score,353318692986884.4,166705459186925.2,334801963249963.06,None
1,df_logalized_scaled,KNeighbors_Regression,cross_val_score,27829.576427398348,28280.408687043557,2806.889185059932,None
2,df_logalized_scaled,Decision_Tree,cross_val_score,34748.43244540742,39162.9566671959,6004.499053664774,None
3,df_logalized_scaled,Random_Forest,cross_val_score,28548.253735962768,25329.4234763442,3774.27724603698,None
4,df_logalized_scaled,SGD_Regression,cross_val_score,23033.354460484927,21654.39753010942,2804.0307331088275,None
5,df_logalized_scaled,Ridge_Regression,cross_val_score,22176.725702829077,22301.32238436713,2503.4482705447763,None
6,df_logalized_scaled,Lasso_Regression,cross_val_score,22502.05004717663,24389.047183683826,2043.2833947918402,None
7,df_logalized_scaled,ElasticNet_Regression,cross_val_score,34657.16376888245,29723.087443844892,5462.80256343042,None
8,df_logalized_scaled,Logistic_Regression,cross_val_score,51659.84991049976,39759.48960349099,6806.644162017971,None
9,df_logalized_scaled,LinearSVR,cross_val_score,163346.0129252817,161682.8492534826,12672.22935815546,None
10,df_logalized_scaled,GradientBoosting_Regression,cross_val_score,24724.141477478322,22802.91713087966,3571.0620638767346,None
11,df_logalized_scaled,XGBoost_Regression,cross_val_score,29503.21055966164,24865.21226401428,3318.905056086615,None
12,df_logalized_scaled,LightGBM_Regression,cross_val_score,28770.465877171067,22872.65918597255,3249.045040632573,None
0,df_logalized_scaled,Linear_Regression,kfold,21686.985233284606,78285723412708.94,124204870137188.25,None
1,df_logalized_scaled,KNeighbors_Regression,kfold,26145.474495820385,28394.85101430055,1768.1355022307803,None
2,df_logalized_scaled,Decision_Tree,kfold,32752.337904493856,37754.781287010745,3898.632235605942,None
3,df_logalized_scaled,Random_Forest,kfold,21838.93938009675,25178.717978114917,2858.9939830781364,None
4,df_logalized_scaled,SGD_Regression,kfold,17547.492930439483,21761.976351025958,2414.25975275166,None
5,df_logalized_scaled,Ridge_Regression,kfold,19274.47691309099,22435.8586966476,2155.1838164212595,None
6,df_logalized_scaled,Lasso_Regression,kfold,21238.803350596365,24412.407658050164,3130.2952995710457,None
7,df_logalized_scaled,ElasticNet_Regression,kfold,24350.25479585749,30163.143330943632,3342.474259178263,None
8,df_logalized_scaled,Logistic_Regression,kfold,33005.13494293652,39581.62941172065,3650.196145706398,None
9,df_logalized_scaled,LinearSVR,kfold,146775.19416164234,159195.87392045284,6511.602397764671,None
10,df_logalized_scaled,GradientBoosting_Regression,kfold,19859.28666208811,22968.162555346527,2173.7568446599616,None
11,df_logalized_scaled,XGBoost_Regression,kfold,19910.694369027064,24796.089768191818,2296.4147722748394,None
12,df_logalized_scaled,LightGBM_Regression,kfold,19366.182468904335,22570.37116478452,2848.942418447918,None
0,df_logalized_scaled,Linear_Regression,repeatedkfold,19661.904227780353,84836221462258.05,153193673925156.56,None
1,df_logalized_scaled,KNeighbors_Regression,repeatedkfold,19186.062992885138,28412.522425194344,3480.935826064503,None
2,df_logalized_scaled,Decision_Tree,repeatedkfold,29089.408563220582,37679.99901840004,4717.795900418702,None
3,df_logalized_scaled,Random_Forest,repeatedkfold,18204.569535450017,25228.702300640885,3500.0300142475207,None
4,df_logalized_scaled,SGD_Regression,repeatedkfold,15823.760928276604,21826.3752858981,2929.3021938994602,None
5,df_logalized_scaled,Ridge_Regression,repeatedkfold,16563.66684947285,22372.570152228986,2795.947930017324,None
6,df_logalized_scaled,Lasso_Regression,repeatedkfold,18756.238002316128,24058.593502427066,2780.1577472902304,None
7,df_logalized_scaled,ElasticNet_Regression,repeatedkfold,23113.722429732483,30091.94613332975,4548.700079452017,None
8,df_logalized_scaled,Logistic_Regression,repeatedkfold,29861.31485111935,40026.890833642865,5744.430163080961,None
9,df_logalized_scaled,LinearSVR,repeatedkfold,140707.37250676952,159092.13016672689,8723.209706109164,None
10,df_logalized_scaled,GradientBoosting_Regression,repeatedkfold,17777.1910151967,23048.961491675695,3191.8028975989073,None
11,df_logalized_scaled,XGBoost_Regression,repeatedkfold,18838.235619639243,25189.744033675863,3281.1031014671203,None
12,df_logalized_scaled,LightGBM_Regression,repeatedkfold,16746.298852843174,22993.17141271316,3390.033996955832,None
0,df_logalized_scaled,Linear_Regression,stratifiedkfold,22620.28002344637,44196646878549.805,62844861274627.28,None
1,df_logalized_scaled,KNeighbors_Regression,stratifiedkfold,24744.886056158408,28471.357580926888,3190.4375300851025,None
2,df_logalized_scaled,Decision_Tree,stratifiedkfold,27736.401688271293,37970.987685186796,4263.333334573557,None
3,df_logalized_scaled,Random_Forest,stratifiedkfold,19928.305507591293,25326.866545986864,3445.9491549874397,None
4,df_logalized_scaled,SGD_Regression,stratifiedkfold,18363.25737718373,21522.004586857565,1899.3853292158851,None
5,df_logalized_scaled,Ridge_Regression,stratifiedkfold,19463.253259707137,21948.54439042908,2006.9234144713923,None
6,df_logalized_scaled,Lasso_Regression,stratifiedkfold,20736.6969696393,23213.613391917876,2286.1777822926715,None
7,df_logalized_scaled,ElasticNet_Regression,stratifiedkfold,23073.55563489529,30043.568943932467,4995.449219273272,None
8,df_logalized_scaled,Logistic_Regression,stratifiedkfold,33991.89880713481,39781.74024168049,4463.052563397259,None
9,df_logalized_scaled,LinearSVR,stratifiedkfold,146768.61782458873,159130.38872965847,7568.800933482261,None
10,df_logalized_scaled,GradientBoosting_Regression,stratifiedkfold,17896.677254729024,22524.632154644372,2878.0035462426067,None
11,df_logalized_scaled,XGBoost_Regression,stratifiedkfold,19888.0083740068,25725.890101744102,3748.718934678326,None
12,df_logalized_scaled,LightGBM_Regression,stratifiedkfold,18173.551338517445,22881.027437517852,2916.265311630069,None
0,df_logalized_scaled,Linear_Regression,shufflesplit,23940.310380063143,262650774160638.66,505483873913274.0,None
1,df_logalized_scaled,KNeighbors_Regression,shufflesplit,26767.308295757266,28535.876507142784,1342.9360192970587,None
2,df_logalized_scaled,Decision_Tree,shufflesplit,34508.40496450398,38306.11645822285,2887.8800587966903,None
3,df_logalized_scaled,Random_Forest,shufflesplit,22105.27164596428,25048.39766557637,1950.3631952839953,None
4,df_logalized_scaled,SGD_Regression,shufflesplit,19278.564577954814,21536.77971956202,1815.9027051592636,None
5,df_logalized_scaled,Ridge_Regression,shufflesplit,19687.905402553057,22222.793780276326,1491.0263950088165,None
6,df_logalized_scaled,Lasso_Regression,shufflesplit,23706.849079653453,25224.763154218468,1389.964037899853,None
7,df_logalized_scaled,ElasticNet_Regression,shufflesplit,27062.951192582233,29890.481544090737,2316.488772034134,None
8,df_logalized_scaled,Logistic_Regression,shufflesplit,37446.640989740226,40878.817712867065,2193.1150804636777,None
